"indicateur","libellés","villes","Unit","Date","Value"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sotouboua","°C","2019M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sotouboua","°C","2019M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sotouboua","°C","2019M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sotouboua","°C","2019M10","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sotouboua","°C","2019M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sotouboua","°C","2019M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2013M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M6","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2014M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M4","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M5","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2015M12","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M11","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2016M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M2","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M3","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2017M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M3","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2018M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M3","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M10","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Sokodé","°C","2019M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M3","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2013M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M1","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M6","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2014M12","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M3","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M4","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M5","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M6","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M11","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2015M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M3","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M11","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2016M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M3","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M4","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M8","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M11","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2017M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M3","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M11","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2018M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M1","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M3","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M4","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M11","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kara","°C","2019M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M8","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M9","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2013M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M8","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M11","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2014M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M3","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2015M12","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M3","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2016M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M3","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M8","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2017M12","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2018M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M3","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M8","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M10","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Niamtougou","°C","2019M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M2","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M3","40"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M4","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M5","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M6","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M10","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M11","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2013M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M3","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M4","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M5","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M6","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M7","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M10","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M11","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2014M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M3","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M4","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M5","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M6","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M11","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2015M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M1","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M3","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M4","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M5","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M6","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M10","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M11","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2016M12","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M3","40"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M4","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M5","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M6","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M10","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M11","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2017M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M2","39"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M3","40"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M4","40"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M5","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M10","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M11","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Mango","°C","2018M12","37"
