"indicateur","libellés","villes","Unit","Date","Value"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2018M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2018M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2018M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2018M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2018M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2018M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M2","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M10","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M11","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2019M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M6","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2013M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M3","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2014M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M3","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M5","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M8","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M9","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M10","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2015M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M1","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M4","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M5","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M11","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2016M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M2","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M3","37"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M6","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M10","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2017M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M3","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M7","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M9","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M10","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2018M12","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M1","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M4","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M5","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M6","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M7","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M9","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Tabligbo","°C","2019M12","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M1","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M2","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M3","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M4","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M5","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M6","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M7","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M8","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M9","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M10","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M11","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2013M12","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M1","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M2","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M3","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M4","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M5","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M6","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M7","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M8","25"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M9","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M10","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M11","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2014M12","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M1","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M2","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M3","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M4","30"
