FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_creation_date,geometry
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46da,Kara,Doufelgou,Doufelgou 3,Léon,ALOUM-LEON,Forêt classée Manda,1954,"MULTIPOLYGON (((1.0116940823304443 9.744158743572559, 1.0124041351256998 9.742770408708388, 1.012075900134776 9.738939195817837, 1.0096381712375344 9.735791927704076, 1.0071984215610112 9.732992756068638, 1.0051095997525001 9.730195624099101, 1.0026678579827235 9.727744539356088, 1.0009320540861348 9.724601341372114, 1.0002551189228899 9.720419987083138, 0.9999311309412525 9.715892581568422, 0.9989033362408347 9.711709177733248, 0.9968188289934379 9.708215824828127, 0.9940326410414326 9.70471835739751, 0.9908956529448041 9.701218820680111, 0.9877628813120329 9.697023063879397, 0.985686873486741 9.692137275719434, 0.984310514357684 9.68760371105716, 0.9815266834383221 9.683758097727095, 0.9784024915439252 9.678169906687932, 0.9749233991840219 9.67327583793523, 0.9738876126181656 9.670484836295767, 0.9697132876352962 9.664542310161139, 0.967982207105751 9.66070286567254, 0.9648395789241321 9.658247513635958, 0.9616844324551196 9.657880724430575, 0.9592246130394746 9.65856235967883, 0.9570987920521651 9.662030826922244, 0.9556787482425849 9.664807253255823, 0.955653514910575 9.668984400119783, 0.9559664640502719 9.675252206548015, 0.958390674291881 9.680488252825175, 0.9629367362594592 9.682952026600715, 0.9685165289128237 9.688554868561257, 0.9730523371934595 9.692759038558433, 0.9807188009980001 9.70150709504183, 0.9838390067765038 9.707791511219964, 0.9869613916388932 9.713727818942662, 0.9939289657994886 9.722123503117372, 0.9980773345703594 9.732591291121725, 1.0015448209555362 9.739573924351697, 1.0053778153293544 9.74412186817112, 1.0099313059929989 9.745540934836301, 1.0116940823304443 9.744158743572559)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46db,Kara,Doufelgou,Doufelgou 3,Léon,Kpesside,Forêt classée de Koularo,1954,"MULTIPOLYGON (((0.9787024549874155 9.642347124042278, 0.9766332533442212 9.642676876017319, 0.9752429022049822 9.644720085773182, 0.9738504903533444 9.647105170112578, 0.9741807239543541 9.649500384141264, 0.9748473239076593 9.653265161386063, 0.9768941389026737 9.656696161737699, 0.9779073545984082 9.660121082648207, 0.9792671738746765 9.663206144507983, 0.981320195865746 9.665611482910654, 0.9844211630473304 9.665629678341363, 0.9868330306359046 9.665643811035457, 0.9885639218565392 9.664286349026026, 0.9902988585292759 9.662245101327397, 0.9916892252247343 9.660201828809024, 0.9927390790011043 9.65747276164852, 0.9927593330165178 9.654053884879483, 0.992430991384429 9.651316773929745, 0.9921066994552208 9.647895887954638, 0.9897071097305488 9.645830494601043, 0.9862617810158141 9.645810369584616, 0.982133498080005 9.644760517217781, 0.9787024549874155 9.642347124042278)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46dc,Kara,Bassar,Bassar 3,Kabou,BARRAGE KABOU,Forêt classée de Kabou,1954,"MULTIPOLYGON (((0.8413907465356004 9.452720726797427, 0.8412722417031675 9.45271999839344, 0.8421010423671491 9.452842758721284, 0.8426950334750539 9.45261107422201, 0.8435304306513522 9.451674869167542, 0.844248783722288 9.450502608782484, 0.8443797376858279 9.448503072887341, 0.8440322823596154 9.447206603813484, 0.8442810024671328 9.445325457066767, 0.844531912963668 9.443091321583314, 0.8444251189683879 9.44120799354121, 0.8432525517348656 9.439200464025244, 0.8420682808978003 9.439075532354174, 0.840771373207709 9.438008570719902, 0.8391101778424394 9.438351368844367, 0.8375638115690408 9.43928319737849, 0.8364899700189752 9.440453257807413, 0.8363655947939808 9.441393824450405, 0.8365945177499976 9.442689564583201, 0.8369434116691846 9.443750710107224, 0.8375256391612992 9.445401624110689, 0.8377523627616796 9.447050350892415, 0.8384523653425588 9.44881965653771, 0.8386783576965642 9.450586045996406, 0.8396161117867766 9.452239147961102, 0.8413907465356004 9.452720726797427)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46dd,Kara,Binah,Binah 2,Sirka,KADJAMADE,Forêt classée de Sirika,Nsp,"MULTIPOLYGON (((1.2788589474954353 9.566695778533775, 1.2805849368477418 9.566020421248135, 1.2819767127873123 9.563291674179922, 1.283716397431158 9.559880726451645, 1.2857988323572933 9.556813409255, 1.287538437894085 9.553402428737213, 1.2913483871422762 9.549317697188096, 1.2934204664225828 9.548301999453697, 1.2975713848955719 9.544902763818516, 1.2989595297944587 9.542857805806658, 1.3017306883916089 9.539793713832893, 1.3017442284183336 9.537058113712455, 1.298988353852295 9.537044664431393, 1.2976188991182058 9.535328185003058, 1.2952194135469632 9.532922749089435, 1.291776325600379 9.532563928464912, 1.2886692054399582 9.53391650600925, 1.286256146398943 9.534246599774322, 1.284538878736136 9.533212281340106, 1.2828250426677184 9.531494062681732, 1.2811129351705692 9.529433891952243, 1.2759647224617843 9.525646969262201, 1.2759544262819893 9.527698642980504, 1.275591069665807 9.531458339644768, 1.2738583842376001 9.533501482813662, 1.271793251023155 9.53314929149722, 1.2690495184045631 9.530742000990232, 1.2680350693441245 9.526975480909073, 1.2656324234789917 9.525253774425137, 1.264239009889997 9.52832440952217, 1.2628542163719005 9.529685318274732, 1.2597505223516585 9.530353737269975, 1.2580177635598835 9.532396786001916, 1.2555873467715306 9.536146081697146, 1.2552254842486603 9.539563772566774, 1.2555543118616708 9.542642973295923, 1.260030845663477 9.54300733108808, 1.263472215555068 9.543708421211882, 1.2679418805111504 9.545440456303512, 1.269302564312251 9.548866752582923, 1.2685911212887708 9.553308593461942, 1.268553083685728 9.560831354553818, 1.270955965179356 9.562553084262838, 1.2743906684352075 9.564621882584353, 1.2788589474954353 9.566695778533775)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46de,Kara,Kozah,Kozah 4,Djamdè,DJAMDE,Forêt classée de Kindja,1954,"MULTIPOLYGON (((1.1121935440141604 9.553178468371396, 1.113234471455518 9.551816420660085, 1.1139346915663164 9.54976867121471, 1.1135996400672967 9.548057230826592, 1.114297965257052 9.54635139296956, 1.1156814375807522 9.545333113258492, 1.1177500620563035 9.545002384057511, 1.119816809848926 9.545013557534807, 1.121885433142882 9.544682802588056, 1.1246429715836839 9.544355747888197, 1.1260282804751993 9.542995502440027, 1.1260338855686836 9.541969751356074, 1.1246654079979705 9.540252746758318, 1.1236395259153036 9.538879512240648, 1.121935976827075 9.535451063439831, 1.1205656704797025 9.534075967173411, 1.1205769019970058 9.532024470344059, 1.1205862596630225 9.53031488945889, 1.1195660342166258 9.527915902939423, 1.1185402027387905 9.526542663493, 1.1192365689151316 9.525178716591832, 1.1195903628878559 9.523470993817073, 1.1195997169066887 9.521761413068035, 1.1185720274402493 9.520730092768638, 1.1151408175581987 9.51831809083316, 1.1130854932528715 9.516255430811269, 1.1106914016717453 9.513165155416305, 1.107617909435612 9.508361568856836, 1.1069159061264495 9.510751233116835, 1.1051712028289813 9.514844854095484, 1.1034170184845558 9.520648022378156, 1.1006237781642845 9.527471277170555, 1.0988732018738891 9.532590567436488, 1.097130144261012 9.536342191672423, 1.0946924479187516 9.541115762005619, 1.0926010298247473 9.545549278958525, 1.095017903851226 9.544536755947012, 1.0970884166927088 9.543864241321714, 1.0998459335242028 9.543537386534908, 1.100873610704142 9.54456876316385, 1.1032791153866113 9.545607651445028, 1.1049976135890205 9.546300861324344, 1.1077381668819837 9.5490511660697, 1.109102799194498 9.55145205394167, 1.1104712205806806 9.553169112355045, 1.1121935440141604 9.553178468371396)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46df,Kara,Assoli,Assoli 1,Bafilo,BAFILO,Réserve Forestière de Doumboua,1954,"MULTIPOLYGON (((1.23996618529364 9.346875392816337, 1.241977670225022 9.346386515748977, 1.2423656159182142 9.344143648264593, 1.241751579496695 9.3413969800383, 1.2420145818353499 9.339028782981018, 1.2421563957687856 9.335787012141086, 1.2436761994683785 9.333175601664987, 1.2441890360428605 9.331058053462378, 1.24243937446832 9.329428174616602, 1.241444930776973 9.327427892110606, 1.2395678697073653 9.326171505902098, 1.237434708124051 9.325911525848852, 1.234174708325885 9.325022393652635, 1.2302869677904726 9.324130113755501, 1.2266528772656051 9.322740220333493, 1.2227733980960753 9.3202266859378, 1.2183873553027507 9.31858354880338, 1.2150063863190599 9.316820694356235, 1.2122512926397586 9.315435081216824, 1.2089946693890172 9.313922221349587, 1.2059783530460444 9.314530587638908, 1.2043373183877453 9.316268234788618, 1.2044494845116602 9.318887671823934, 1.2065704459368043 9.321517233882298, 1.2093191928652927 9.324149947821622, 1.2128155800535527 9.327908781555367, 1.216559979849695 9.332292381951552, 1.219428742744322 9.336048028565024, 1.221172608859749 9.338800360065434, 1.22266538353492 9.34155143153485, 1.2242868980903672 9.34367959779569, 1.2261595511837362 9.345809014504598, 1.228665706924094 9.346819200406491, 1.2312999599588665 9.347331170428946, 1.23443646910182 9.347845620195145, 1.236947067818744 9.347982805955091, 1.2394608061677785 9.347496438669326, 1.23996618529364 9.346875392816337)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e0,Kara,Dankpen,Dankpen 3,Nawaré,SADJIBOU,Forêt classée de Sadjibou,1955,"MULTIPOLYGON (((0.6258934362738894 9.560009116282297, 0.6268225920435488 9.559555896723685, 0.6263659821144858 9.558633639859021, 0.6228904248159911 9.559069443968587, 0.6198682603100562 9.560887017414622, 0.6177752377767805 9.562251365983103, 0.6142868336858484 9.56452524296174, 0.6114848463949973 9.567952706598714, 0.6086795849131527 9.571839673835738, 0.6045045879762915 9.572959776341593, 0.6008022488088333 9.57270441099765, 0.5973411117376143 9.571072000635546, 0.5922482351331255 9.571036697180354, 0.5876361992230179 9.568477104333459, 0.5869465897251218 9.567782976581901, 0.5837203331436484 9.565692535043718, 0.5811950793555879 9.562687848367613, 0.5789062281405353 9.558995471105455, 0.5770706251630536 9.556684909016093, 0.5726757396538915 9.556194684291212, 0.5703641973336815 9.555718979042286, 0.5678146572187153 9.556160694175516, 0.5654949607071633 9.556833773949087, 0.5629454146399012 9.557275449663079, 0.5592433845784155 9.557019689980484, 0.5566922005854277 9.557691079011112, 0.5539095321993145 9.55836081702175, 0.5499711098262975 9.558792608689892, 0.5476579744395393 9.55854651580153, 0.5471884324195901 9.559462287236604, 0.5441775687682675 9.559670785368573, 0.5418594905762641 9.560113930457307, 0.5400109722932137 9.559641303015342, 0.5353814364408211 9.559608486370324, 0.5333014627542499 9.559134183738205, 0.5314579440671707 9.557972243310063, 0.5302922822803625 9.559112802954724, 0.5289050910220695 9.558873169359863, 0.5258959228671904 9.558851751095208, 0.5258809732040594 9.560919557192845, 0.5238043448154701 9.559985687215942, 0.5214929288940992 9.559509667131383, 0.5191815231911148 9.559033633263022, 0.5173347391809606 9.558331139585597, 0.5147835410250017 9.55900219732636, 0.5117777447409675 9.55852114896443, 0.5104039559045522 9.556443416778315, 0.507629666135521 9.555963997994764, 0.5053149779433704 9.555947388045238, 0.5041760573239313 9.553411799830789, 0.5025725450958605 9.551102638992349, 0.4991156726276909 9.549009915371611, 0.4933828843704104 9.54161622712396, 0.4874441052752042 9.530774587523394, 0.4817505455395236 9.518096616267126, 0.4735014688451606 9.506778732341324, 0.4716635332778784 9.504927353441719, 0.4679606870431597 9.504900529677963, 0.4626209273452413 9.50715935961322, 0.4549464339547319 9.512158157867546, 0.4479643334599709 9.517391550594414, 0.4391305607013888 9.522611151785052, 0.4372585207011692 9.525354439154473, 0.4388682924815638 9.526744794428769, 0.4416421162278122 9.527224676858637, 0.4439547863872348 9.527471402116026, 0.4455834008772359 9.526334569289727, 0.4474383207554857 9.525888649268861, 0.4471966360960933 9.52726541059038, 0.44950249430724 9.528431072566885, 0.4499414823821203 9.53165086495144, 0.4485186646123032 9.536235553607373, 0.4487261863431722 9.539453649681638, 0.4493966031827191 9.542675139725937, 0.449374379214847 9.5456617973469, 0.4500362488857583 9.550032004575607, 0.4481503757798164 9.554613270839068, 0.4453591748870936 9.556430800942938, 0.4425627974707442 9.558937525120943, 0.4420758349293269 9.562150495787902, 0.4434371302514774 9.56583658779666, 0.4441023275015837 9.569747308996547, 0.4457088626038138 9.571597174931192, 0.4463654938970534 9.576656609953261, 0.447028996761065 9.580797079544187, 0.4462933211262964 9.586305767759798, 0.4448803628881984 9.589511907679087, 0.4432513902971618 9.590648654428245, 0.4421008773400161 9.589721142584265, 0.4388636095070352 9.58923770935237, 0.4353879717169082 9.589671493271164, 0.4337572497714502 9.591037926318, 0.4330472480172772 9.593100432637597, 0.433026491313674 9.595857304025179, 0.4313957266485457 9.597223715302015, 0.4295299998278733 9.599047872854662, 0.4274449097029248 9.599262126071554, 0.4274327680387629 9.600870293433553, 0.4251022921127638 9.602920709588433, 0.4223070762528361 9.605197388485104, 0.4185806472735075 9.608156330680806, 0.4162535600371738 9.6097471872388, 0.4164693540536539 9.611816542355953, 0.4183125643392392 9.612979066229167, 0.4185266247409887 9.61527815990765, 0.4192071601325811 9.617121241434939, 0.4191827507871806 9.620337551741219, 0.418007819317222 9.622626258953986, 0.4175256216460055 9.625149891995994, 0.4158824108970691 9.628124325120442, 0.4156351788174253 9.630190211864747, 0.4137621630760632 9.632933152790942, 0.4121346298385419 9.633839933727167, 0.4100528422575527 9.633594553527628, 0.4082060717868549 9.632891433347112, 0.4084270538149286 9.634271579191122, 0.4095775637276363 9.635199216542853, 0.4116611114314128 9.63521486722723, 0.4132816509839482 9.63522703129842, 0.4151354481085509 9.635011188296534, 0.4165349741272565 9.633643186349023, 0.4177029842739544 9.63227344205516, 0.4190780424966349 9.634121731302091, 0.4204723162955689 9.63344291763215, 0.4200232687006177 9.631601561909958, 0.4211895143557617 9.6304615367858, 0.4230363183280749 9.631164591004714, 0.423276537971007 9.630017635669086, 0.4207456950030062 9.627930971911514, 0.4216839079541112 9.626329736634474, 0.4240006646324976 9.62611729126204, 0.4260806999009606 9.62659231550564, 0.4297847417349971 9.626619928607235, 0.4318665337103845 9.626865182190981, 0.433243405785569 9.62848369093197, 0.4351075870882972 9.626889292185044, 0.4371876600539927 9.627364254632344, 0.4387995349624146 9.628524988471787, 0.4425019053253999 9.62878221111595, 0.4464409801838637 9.628351885595416, 0.4494540266960093 9.627914667212837, 0.4517639332278705 9.628621002278006, 0.4531564286408062 9.62817177573071, 0.4547890350687825 9.626575536847307, 0.4573442153734795 9.62544559712553, 0.4582599334103821 9.626830879887613, 0.4614924707354932 9.6280034618464, 0.46473361012575 9.628027296500845, 0.4663404746109484 9.629877160940616, 0.4656219366032965 9.633088483461584, 0.4663267635112409 9.631715119228584, 0.4681788693224128 9.631728722002503, 0.4677055631138257 9.633103792301236, 0.4688494327503857 9.634950253331763, 0.4706964245657285 9.635653083599177, 0.4718437407365599 9.637040049449068, 0.4739205616638792 9.637974311116777, 0.4755343573173466 9.638905171357623, 0.4771652430903316 9.637538560150453, 0.4785611847148039 9.636629738091559, 0.4801818159619666 9.63664158958684, 0.4831949722528842 9.636204083918207, 0.4850471267285785 9.63621760238869, 0.487134205292031 9.635773301970831, 0.4885233233521349 9.63578342544138, 0.4899141417645261 9.635563794416031, 0.4917730922122136 9.634658278927093, 0.4933920342553902 9.634899815492881, 0.4938432013079633 9.63651142915283, 0.4922123683879816 9.637878137804773, 0.4935964101190117 9.63857749159825, 0.4928950528441696 9.63949143690769, 0.4926550409849336 9.640638499040087, 0.4933496127270358 9.640643552881373, 0.4952153736657953 9.638819024611454, 0.4966112919337577 9.637910118458368, 0.496366209106771 9.639746436754898, 0.4963526462445548 9.641584436632996, 0.4986695938372781 9.641371503760176, 0.5007600940453504 9.640467622854613, 0.5014698949264687 9.638404902173946, 0.5014868077662508 9.636107392850478, 0.5038071015279224 9.635434912354581, 0.5063673491701716 9.63361532942401, 0.5098418613393955 9.633410675969555, 0.5112360457571615 9.632731447448228, 0.5140143098684681 9.632751488410356, 0.5156349667277479 9.632763168659622, 0.5179518737056471 9.632550087664782, 0.5191061311954858 9.633017926262225, 0.5195523929274107 9.63531879896869, 0.520726795609982 9.633029582913908, 0.5223441091565253 9.633500741255743, 0.5234967035293876 9.634198322273834, 0.5246593536516678 9.633517370386304, 0.5260451542692907 9.633986850988176, 0.5272211847219996 9.631467844983112, 0.5281489521046516 9.631244728335856, 0.5302209708808073 9.6328679489715, 0.5316151329804837 9.6321886271403, 0.5330276463838393 9.628981976260853, 0.5358009258306148 9.629691105218063, 0.5381128375538071 9.630167152435675, 0.5404330778632302 9.629494396576849, 0.5436810726629847 9.628598459920296, 0.5448586185573212 9.625849597042485, 0.5464726446883812 9.626780159948245, 0.5487713091220637 9.629094208848784, 0.550178688674644 9.626576722283726, 0.5527221499339376 9.627054315139304, 0.5554806163978159 9.629831136035566, 0.558966741571479 9.628017642693072, 0.5612754154515888 9.628953062637262, 0.5638090426454236 9.6308091529898, 0.5668172854817253 9.631060162586627, 0.570071863375309 9.62924491195702, 0.5737812659371807 9.62858169647486, 0.5786532265063034 9.627237270956634, 0.5798256032208481 9.625177511370733, 0.5803050171610628 9.622883110827065, 0.5842458818302906 9.622221383383879, 0.5838073177409946 9.618771661372557, 0.5863720289742921 9.61626204708295, 0.5893753264225199 9.617202131681927, 0.5924014132738454 9.614925457201352, 0.5972747784947422 9.613350933929887, 0.5993471439964401 9.614973795175406, 0.602120588210091 9.615682397118187, 0.6046835515624558 9.613402376682131, 0.6055870126364536 9.616625564400266, 0.6097948580305602 9.61091018246802, 0.6153852411997146 9.60612337936742, 0.6200510004876658 9.601100304611183, 0.6258726018247431 9.596314847426545, 0.6282085503101937 9.593343668730418, 0.629623191461017 9.589676806008658, 0.629883432470319 9.585542465338792, 0.6296949943219693 9.57933699294696, 0.6299775057721055 9.571985814397515, 0.6284159640683605 9.56347311645655, 0.6258934362738894 9.560009116282297)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e1,Kara,Kéran,Kéran 3,Nadoba,NATIWAH,Forêt classée de Natiwah,1958,"MULTIPOLYGON (((0.9783853284482545 10.2085492045058, 0.9825882056366886 10.20531093508099, 0.9818475711954987 10.20216761721449, 0.9836384453510484 10.199542141924367, 0.9855607549121674 10.196164162694854, 0.9829183425726222 10.193134661629134, 0.979636004714474 10.191105587734846, 0.9776407862850439 10.185945722629722, 0.9755434334280639 10.176893197542576, 0.9760898791785549 10.170619112977146, 0.974115350535391 10.16219510306216, 0.9698505247514206 10.155263512359157, 0.9693777196003361 10.149861979194064, 0.9653371998163718 10.147577064803874, 0.96269055638542 10.145300767674618, 0.9555987811415593 10.144628923096786, 0.9527960166016967 10.146996858955768, 0.9502346455439421 10.151249484584213, 0.9520977772324342 10.157161864078237, 0.9566299852037439 10.161835423160259, 0.9602768879533768 10.166252334185902, 0.9625275755440553 10.171037180761639, 0.9654143175439648 10.1754493332281, 0.9670362742958563 10.179476969711516, 0.967642072095319 10.183874936373792, 0.9682470796003105 10.188398447714995, 0.9690944161911599 10.194681147812576, 0.9680558997260055 10.198566694530799, 0.9690506531685139 10.201586050157525, 0.9733365412283528 10.205253606139971, 0.9767417228504361 10.207911268992191, 0.9783853284482545 10.2085492045058)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e2,Kara,Kéran,Kéran 3,Warengo,Watema,Forêt classée de Wartema,Nsp,"MULTIPOLYGON (((1.1160601099994167 10.073643648530627, 1.1175833505438784 10.073150090304955, 1.1206501748634783 10.068647380482975, 1.1229625677128066 10.063135861850085, 1.1245422614026888 10.052848858531993, 1.1263563692035443 10.045827729587655, 1.1197920340218142 10.041772609357377, 1.1144466797698127 10.046011279350264, 1.1156902406582678 10.050036275219286, 1.1131244949653238 10.055546297290439, 1.1082811798358245 10.06054102842085, 1.1077451730707637 10.065560337609636, 1.1115181311344327 10.070353171415888, 1.1160601099994167 10.073643648530627)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e3,Kara,Doufelgou,Doufelgou 1,Siou,BIRGOU,Forêt de Biragou,1954,"MULTIPOLYGON (((1.2052933333333333 9.813233333333333, 1.2053580574614342 9.813044407621295, 1.205497328849885 9.812993442439721, 1.2055848488868364 9.81287326592856, 1.2058166275899793 9.81285151435425, 1.2058798998787597 9.812932276131196, 1.2062503007749223 9.812980195500627, 1.2063431173954287 9.812951963059298, 1.2064638091237754 9.813124945009852, 1.206474186462235 9.813349045869376, 1.20644386950517 9.813601655125927, 1.2064487026774495 9.813779768492267, 1.2062569065814794 9.813905137891757, 1.2061057119660932 9.81401923262628, 1.2058566509949311 9.814023658436664, 1.2057001596074852 9.814045808668372, 1.2054921951325763 9.813947046119294, 1.2053600756165095 9.813745279508863, 1.2051636323619714 9.813658067364251, 1.20514681498315 9.813554572528593, 1.2052694547744098 9.813365645044469, 1.2052933333333333 9.813233333333333)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e4,Kara,Bassar,Bassar 1,Kalanga,KALIGHA,Forêt Tiyadja,Nsp,"MULTIPOLYGON (((0.6941419769739907 9.271779588340447, 0.6936801907874778 9.272419381369819, 0.6940406489176757 9.272797960816304, 0.6938922897980951 9.273768997890487, 0.6933186125618045 9.274627550471749, 0.6938208784189791 9.275038399822314, 0.6945005037343833 9.274870331403733, 0.6948704850151396 9.273790981006371, 0.6954134178900822 9.272806807948342, 0.6952159659006667 9.271629736024838, 0.6941419769739907 9.271779588340447)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e5,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,ABLOGAMÉ,Dagbazé,Jadis,"MULTIPOLYGON (((1.740393465392423 6.4737674272894, 1.740479158935315 6.473646825829607, 1.7405621495321724 6.4736323874996735, 1.7405672620292783 6.473538433753156, 1.740518719390032 6.473435804564462, 1.740400611340542 6.473345206303848, 1.7402786560801806 6.473330259750991, 1.7402724778688807 6.473361973347831, 1.7401662786770504 6.473388557504692, 1.7401172793941833 6.473470198949964, 1.7400047053118453 6.473607818458874, 1.7401032644149872 6.473710571747612, 1.7402152123927073 6.473825561663142, 1.740393465392423 6.4737674272894)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e6,Maritime,Zio,Zio 1,Gbatopé,GATI,Sove,1886,"MULTIPOLYGON (((1.3185516666666668 6.49922, 1.318765 6.499203333333332, 1.3189866666666668 6.4990266666666665, 1.3191950000000001 6.499196666666667, 1.3194583333333334 6.499436666666666, 1.318854567632848 6.5002824901252465, 1.318552424289504 6.499231644760267, 1.3185516666666668 6.49922)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e7,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,AGOME SEVA,Agueno,Nps,"MULTIPOLYGON (((1.7464204386149635 6.471036931168648, 1.7460222204634825 6.470977345045174, 1.7459119538792247 6.470555127434778, 1.7460180385523802 6.470297533642554, 1.7459134713103812 6.46993979400795, 1.7462715909407815 6.469630078783239, 1.746926690801514 6.4700477796755145, 1.7474119597189801 6.470441619905748, 1.7473049372388263 6.471080135005069, 1.7468943090267393 6.4713018160311035, 1.7464204386149635 6.471036931168648)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e8,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,ADIDOME,Adidomé,1980,"MULTIPOLYGON (((1.6760209284821719 6.43678277099621, 1.6761429847916298 6.436709613758261, 1.6762292419215938 6.436747785221718, 1.676290444667458 6.43679961758267, 1.6762692185840844 6.436893221238832, 1.6761827795206699 6.436925293301894, 1.6761229755245062 6.4369566269836795, 1.6760801699714378 6.436968627064809, 1.6760278386224123 6.436919239881749, 1.675995748608754 6.436844875696591, 1.6760209284821719 6.43678277099621)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46e9,Maritime,Zio,Zio 1,Gbatopé,HAVE,Golove,1884,"MULTIPOLYGON (((1.2500295071983218 6.528876137162444, 1.2502534582272027 6.529090169091149, 1.2517275821246243 6.529583091131247, 1.2516550389224115 6.529885481118778, 1.251825651353786 6.53075441298821, 1.2527935603884288 6.532172656080535, 1.2528346670066604 6.532467778937258, 1.2531232798297414 6.533180053287539, 1.253548846035358 6.53342415465072, 1.2536971302750688 6.533369759440326, 1.2537803131519798 6.533312584363824, 1.2541744059011786 6.533428878972958, 1.254960561064403 6.5335107776902825, 1.2553395733451702 6.533558062714268, 1.2557651299087518 6.5334369484343755, 1.2565483944620526 6.5328790712963904, 1.256962623890332 6.5327106685289555, 1.2572379743922775 6.532461335197528, 1.2576507412484754 6.5319775141457015, 1.2581504616569021 6.531084084729918, 1.2574156794595475 6.529438076983393, 1.2571263670131798 6.528557241045809, 1.2561376269204227 6.5283597186933395, 1.2541502229605106 6.528250675992411, 1.2542633713267848 6.52765089151318, 1.254243794119898 6.5274056451107505, 1.25431587226593 6.526868289814186, 1.254324093877716 6.526706142894874, 1.2548407758752107 6.525337741907738, 1.2547911456240637 6.5252915990234435, 1.2547325318805036 6.524521381851774, 1.254564275044459 6.5244454577819315, 1.25447743641777 6.5244528188474655, 1.2532833492579438 6.523833181503398, 1.253196260374117 6.523544284205113, 1.251930364935307 6.5244899613155, 1.2514447930973969 6.524985018081962, 1.251226031048404 6.525483554116684, 1.25122497676298 6.525787469248269, 1.2509924144958353 6.526215723793026, 1.2510426658184337 6.526818627860271, 1.2509085160938578 6.527583066806303, 1.2503045829619215 6.528338212005006, 1.2500295071983218 6.528876137162444)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46ea,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,AGBETIKO DOGBOYOU,Forêt de Dagbaze,Nsp,"MULTIPOLYGON (((1.7117976707109044 6.493703840453171, 1.7115543766517114 6.4934042095309055, 1.7116302111731119 6.493341950609101, 1.7117077402996104 6.493357287693704, 1.7115504002974475 6.493136928743825, 1.7113250209746294 6.493260770831897, 1.7112006038937622 6.493276253010986, 1.7110146941128568 6.493406119929395, 1.7111232679848771 6.493926800894214, 1.7112247472054438 6.494062867416882, 1.7110659040932212 6.494239013791336, 1.7110879559737275 6.494465416963488, 1.7114605132814815 6.4947809876469185, 1.711712314399927 6.494532646626184, 1.7117941713649625 6.494376675401294, 1.7117947411227779 6.4941525932220445, 1.711690814769187 6.494088951624252, 1.7117182097493484 6.493993955544716, 1.7117885110380204 6.493933020683747, 1.7117976707109044 6.493703840453171)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46eb,Maritime,Zio,Zio 2,Bolou,BOLOU CENTRE,Bape,1880,"MULTIPOLYGON (((1.1616083333333334 6.423455, 1.1608966666666667 6.42352, 1.1609733333333334 6.4245816666666675, 1.1614683333333335 6.424365, 1.1617033333333335 6.423611666666667, 1.1616083333333334 6.423455)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46ec,Maritime,Zio,Zio 1,Gbatopé,KODJO,Mariatodji,1996,"MULTIPOLYGON (((1.2515388953053828 6.473450552172197, 1.2519360720624224 6.47466285039629, 1.2514969624864603 6.47497648268353, 1.2514496031857165 6.474943941767429, 1.2513752736154982 6.47522429359163, 1.2507408603082453 6.475199730462724, 1.2501411949413974 6.4738491143790675, 1.2515388953053828 6.473450552172197)))"
